Division,Party,2012,2013,2014,2015,2016
Abbey,Green,0.23898305084745763,0.18501440922190202,0.20671834625322996,0.1809966434288665,0.14491315136476426
Abbey,Lab,0.5440677966101695,0.5337175792507205,0.48664944013781225,0.4247353472760134,0.6129032258064516
Abbey,Con,0.12372881355932204,0.17060518731988472,0.14125753660637383,0.17970565453137102,0.11017369727047147
Abbey,LDem,0.09322033898305085,0.1106628242074928,0.165374677002584,0.21456235476374902,0.13200992555831265
Arbury,Green,0.10462099985865961,0.08581967176289294,0.1487744656366677,0.13819979832870732,0.09872068475358142
Arbury,Con,0.11224091056477964,0.1128972113773289,0.1291987948569604,0.1455838426202893,0.1087820259847739
Arbury,Lab,0.534437174189579,0.45512909790954387,0.42615969725997516,0.3744363667880782,0.5674772700278546
Arbury,LDem,0.208502041121744,0.20823692734844979,0.26893784914214175,0.28278796821457486,0.1884566607534895
Arbury,Ind,0.040198874265237744,0.03945494489695979,0.02692919310425499,0.000735656287853004,0.02973191468166545
Arbury,UKIP,,0.09846214670482471,,0.05825636776049738,0.006831443798635243
Castle,Green,0.10429786281138886,0.03723708321980565,0.14042363124598103,0.18266749185299697,0.08708641457650379
Castle,Con,0.11261613077649912,0.08610474465618473,0.1096119858147836,0.18778553030633757,0.07119101166425251
Castle,Lab,0.28585785210632964,0.28114799202902035,0.29227167538803345,0.29791452131060814,0.3830620568727607
Castle,LDem,0.20925659917745823,0.31613589131259384,0.2959373447769987,0.31351773337407907,0.24018449340550435
Castle,Ind,0.2879715551283242,0.2378311669578318,0.16175536277420324,,0.21075703285812308
Castle,UKIP,,0.04154312182456365,,0.018114723155978195,0.007718990622855838
Cherry Hinton,Con,0.18793082989029006,0.21259725230025323,0.21992988857291054,0.1928894961644808,0.15804746709214199
Cherry Hinton,LDem,0.08753060982319119,0.07710288405348734,0.14895995421294558,0.20475109470988842,0.09525329078579975
Cherry Hinton,Lab,0.6925641053301546,0.5715742554971183,0.5791436389976927,0.41898608884633176,0.6064519345831672
Cherry Hinton,Green,0.03197445495636415,0.09820906809666219,0.04161971705031211,0.09972349833776238,0.06844834463502193
Cherry Hinton,UKIP,,0.040516540052479004,,0.08364982194153657,0.07179896290386915
Cherry Hinton,Ind,,,0.010346801166139043,,
Chesterton,Lab,0.4029639485343034,0.3691184658212187,0.3722047588731498,0.3708298970200778,0.44152346897107353
Chesterton,UKIP,0.031040779062690205,0.0464831425920198,0.05546713353493555,0.05764978068414869,0.051308368925824153
Chesterton,Con,0.15526051324151793,0.09619548407052274,0.09663974216138788,0.13323894115328755,0.07928572216887948
Chesterton,Green,0.12699401265410692,0.06879059696875967,0.1023396466656056,0.11660596860243617,0.06636206116390204
