Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Supplier Type,Expense Area,Cost Centre Description,Expense Type
Cambridgeshire County Council,13-Sep-17,24231231-15993619,-270199.5,Cambridgeshire And Peterborough Nhs Foundation Trust,Trust (Other),Control Accounts,Uncleared bank items,Bank Overdraft Expenditure / Payments
Cambridgeshire County Council,18-Sep-17,23936675-16035892,-44361.14,Kisimul School,Care Establishment,S&C,Placements - Education,Independent School Placements
Cambridgeshire County Council,18-Sep-17,23964000-16035893,-41000.45,Kisimul School,Care Establishment,S&C,Placements - Education,Independent School Placements
Cambridgeshire County Council,06-Sep-17,24192397-15965652,-25242.89,Wings Education Ltd,Trade Supplier,S&C,Placements - Social Care,Agency Placements - Out County
Cambridgeshire County Council,08-Sep-17,22045983-15973166,-20680.84,Bnp Paribas Real Estate,Trade Supplier,LGSS Managed,Babbage House,Rents and Leases
Cambridgeshire County Council,08-Sep-17,24212963-15978394,-18600,Wings Education Ltd,Trade Supplier,S&C,Placements - Social Care,Agency Placements - Out County
Cambridgeshire County Council,29-Sep-17,24233703-16112718,-18274.84,Imtech Aqua Maintenance Ltd,Company,Control Accounts,Uncleared bank items,Bank Overdraft Expenditure / Payments
Cambridgeshire County Council,15-Sep-17,24231253-16029599,-17500,Gretton School,Education,Control Accounts,Uncleared bank items,Bank Overdraft Expenditure / Payments
Cambridgeshire County Council,15-Sep-17,24232347-16029551,-13950.24,Mears Care Ltd,Care Establishment,Control Accounts,Uncleared bank items,Bank Overdraft Expenditure / Payments
Cambridgeshire County Council,15-Sep-17,24213314-16029513,-10164.36,Sdc Builders Ltd,Company,S&C,Education Property Strategy Manager,Capital WIP - land and buildings  -  Construction cost
Cambridgeshire County Council,25-Sep-17,24234014-16080295,-9654.2,The National Fostering Agency,Care Establishment,Control Accounts,Uncleared bank items,Bank Overdraft Expenditure / Payments
Cambridgeshire County Council,25-Sep-17,24231250-16079952,-9127.27,Fostering Solutions Ltd,Care Establishment,Control Accounts,Uncleared bank items,Bank Overdraft Expenditure / Payments
Cambridgeshire County Council,25-Sep-17,24231221-16080574,-8940,Asbestech Limited,Trade Supplier,Control Accounts,Uncleared bank items,Bank Overdraft Expenditure / Payments
Cambridgeshire County Council,28-Sep-17,24322829-16102141,-8156.17,Kisimul School,Care Establishment,S&C,Placements - Education,Independent School Placements
Cambridgeshire County Council,14-Sep-17,24103339-16001380,-6741,The Lodge (Jeesal Akman Care Corporation Ltd),Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Day and Domicillary Care Independent Sector
Cambridgeshire County Council,14-Sep-17,24096135-16001377,-6741,The Lodge (Jeesal Akman Care Corporation Ltd),Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Day and Domicillary Care Independent Sector
Cambridgeshire County Council,14-Sep-17,24096134-16001376,-6741,The Lodge (Jeesal Akman Care Corporation Ltd),Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Day and Domicillary Care Independent Sector
Cambridgeshire County Council,14-Sep-17,24103342-16001378,-6741,The Lodge (Jeesal Akman Care Corporation Ltd),Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Day and Domicillary Care Independent Sector
Cambridgeshire County Council,01-Sep-17,24137235-15946681,-4655,Brookdale Healthcare Limited,Care Establishment,4 - Operations - Providers services,LDP Huntingdonshire Locality - Care,Respite Independent Sector
Cambridgeshire County Council,01-Sep-17,24137237-15946683,-4655,Brookdale Healthcare Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Respite Independent Sector
Cambridgeshire County Council,14-Sep-17,24212760-16026185,-4655,Brookdale Healthcare Limited,Care Establishment,4 - Operations - Providers services,LDP Huntingdonshire Locality - Care,Respite Independent Sector
Cambridgeshire County Council,14-Sep-17,24257220-16026204,-4655,Brookdale Healthcare Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Respite Independent Sector
Cambridgeshire County Council,14-Sep-17,24257223-16026207,-4655,Brookdale Healthcare Limited,Care Establishment,4 - Operations - Providers services,LDP Huntingdonshire Locality - Care,Respite Independent Sector
Cambridgeshire County Council,22-Sep-17,24323863-16076783,-4655,Brookdale Healthcare Limited,Care Establishment,4 - Operations - Providers services,LDP Huntingdonshire Locality - Care,Respite Independent Sector
Cambridgeshire County Council,28-Sep-17,24366816-16105557,-4655,Brookdale Healthcare Limited,Care Establishment,4 - Operations - Providers services,LDP Huntingdonshire Locality - Care,Respite Independent Sector
Cambridgeshire County Council,01-Sep-17,24137243-15946669,-4655,Brookdale Healthcare Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Respite Independent Sector
Cambridgeshire County Council,14-Sep-17,24212738-16026170,-4655,Brookdale Healthcare Limited,Care Establishment,4 - Operations - Providers services,LDP Huntingdonshire Locality - Care,Respite Independent Sector
Cambridgeshire County Council,14-Sep-17,24212742-16026171,-4655,Brookdale Healthcare Limited,Care Establishment,4 - Operations - Providers services,LDP Huntingdonshire Locality - Care,Respite Independent Sector
Cambridgeshire County Council,14-Sep-17,24257224-16026208,-4655,Brookdale Healthcare Limited,Care Establishment,4 - Operations - Providers services,LDP Huntingdonshire Locality - Care,Respite Independent Sector
Cambridgeshire County Council,22-Sep-17,24323864-16076784,-4655,Brookdale Healthcare Limited,Care Establishment,4 - Operations - Providers services,LDP Huntingdonshire Locality - Care,Respite Independent Sector
Cambridgeshire County Council,28-Sep-17,24366806-16105547,-4655,Brookdale Healthcare Limited,Care Establishment,4 - Operations - Providers services,LDP Huntingdonshire Locality - Care,Respite Independent Sector
Cambridgeshire County Council,01-Sep-17,24137238-15946684,-4655,Brookdale Healthcare Limited,Care Establishment,4 - Operations - Providers services,LDP Huntingdonshire Locality - Care,Respite Independent Sector
Cambridgeshire County Council,14-Sep-17,24257230-16026212,-4655,Brookdale Healthcare Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Respite Independent Sector
Cambridgeshire County Council,01-Sep-17,24137233-15946679,-4655,Brookdale Healthcare Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Respite Independent Sector
Cambridgeshire County Council,14-Sep-17,24212747-16026175,-4655,Brookdale Healthcare Limited,Care Establishment,4 - Operations - Providers services,LDP Huntingdonshire Locality - Care,Respite Independent Sector
Cambridgeshire County Council,14-Sep-17,24257211-16026198,-4655,Brookdale Healthcare Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Respite Independent Sector
Cambridgeshire County Council,14-Sep-17,24257215-16026202,-4655,Brookdale Healthcare Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Respite Independent Sector
Cambridgeshire County Council,22-Sep-17,24323850-16076770,-4655,Brookdale Healthcare Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Respite Independent Sector
Cambridgeshire County Council,22-Sep-17,24323852-16076772,-4655,Brookdale Healthcare Limited,Care Establishment,4 - Operations - Providers services,LDP Huntingdonshire Locality - Care,Respite Independent Sector
Cambridgeshire County Council,01-Sep-17,24137231-15946677,-4655,Brookdale Healthcare Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Respite Independent Sector
Cambridgeshire County Council,01-Sep-17,24137239-15946685,-4655,Brookdale Healthcare Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Respite Independent Sector
Cambridgeshire County Council,14-Sep-17,24257208-16026217,-4655,Brookdale Healthcare Limited,Care Establishment,4 - Operations - Providers services,LDP Huntingdonshire Locality - Care,Respite Independent Sector
Cambridgeshire County Council,22-Sep-17,24323853-16076773,-4655,Brookdale Healthcare Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Respite Independent Sector
Cambridgeshire County Council,22-Sep-17,24323855-16076775,-4655,Brookdale Healthcare Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Respite Independent Sector
Cambridgeshire County Council,28-Sep-17,24366805-16105546,-4655,Brookdale Healthcare Limited,Care Establishment,4 - Operations - Providers services,LDP Huntingdonshire Locality - Care,Respite Independent Sector
Cambridgeshire County Council,28-Sep-17,24366810-16105551,-4655,Brookdale Healthcare Limited,Care Establishment,4 - Operations - Providers services,LDP Huntingdonshire Locality - Care,Respite Independent Sector
Cambridgeshire County Council,28-Sep-17,24366815-16105556,-4655,Brookdale Healthcare Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Respite Independent Sector
Cambridgeshire County Council,01-Sep-17,24137230-15946676,-4655,Brookdale Healthcare Limited,Care Establishment,4 - Operations - Providers services,LDP Huntingdonshire Locality - Care,Respite Independent Sector
Cambridgeshire County Council,14-Sep-17,24212766-16026188,-4655,Brookdale Healthcare Limited,Care Establishment,4 - Operations - Providers services,LDP Huntingdonshire Locality - Care,Respite Independent Sector
Cambridgeshire County Council,22-Sep-17,24323858-16076778,-4655,Brookdale Healthcare Limited,Care Establishment,4 - Operations - Providers services,LDP Huntingdonshire Locality - Care,Respite Independent Sector
Cambridgeshire County Council,22-Sep-17,24323860-16076780,-4655,Brookdale Healthcare Limited,Care Establishment,4 - Operations - Providers services,LDP Huntingdonshire Locality - Care,Respite Independent Sector
Cambridgeshire County Council,28-Sep-17,24366801-16105542,-4655,Brookdale Healthcare Limited,Care Establishment,4 - Operations - Providers services,LDP Huntingdonshire Locality - Care,Respite Independent Sector
Cambridgeshire County Council,28-Sep-17,24366809-16105550,-4655,Brookdale Healthcare Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Respite Independent Sector
Cambridgeshire County Council,01-Sep-17,24137232-15946678,-4655,Brookdale Healthcare Limited,Care Establishment,4 - Operations - Providers services,LDP Huntingdonshire Locality - Care,Respite Independent Sector
Cambridgeshire County Council,14-Sep-17,24212745-16026174,-4655,Brookdale Healthcare Limited,Care Establishment,4 - Operations - Providers services,LDP Huntingdonshire Locality - Care,Respite Independent Sector
Cambridgeshire County Council,22-Sep-17,24323854-16076774,-4655,Brookdale Healthcare Limited,Care Establishment,4 - Operations - Providers services,LDP Huntingdonshire Locality - Care,Respite Independent Sector
