Service Area Division,Purpose of Expenditure,Payment Date,Transaction Number,Amount in £,Capital or Revenue,Beneficiary,Merchant Category
B006 - Support Services,Agency Costs,03/09/2018,Cashbook September,"2,278.00",Revenue,Sellick Partnership,Employment Agency
B006 - Support Services,Annual Licence Fee,03/09/2018,Cashbook September,"3,254.57",Revenue,PS Live Ltd,Software
B015 - Corporate Overheads,Audit Services,03/09/2018,Cashbook September,"6,738.00",Revenue,Ernst & Young,Auditors
B006 - Support Services,Business Intelligence Research Support,03/09/2018,Cashbook September,"25,636.00",Revenue,Cambridgeshire County Council,Local Authority
B017 - Strategic Planning,Growth Funds Claim,03/09/2018,Cashbook September,"62,738.05",Capital,Cambridge Regional College,Educational Establishment
B015 - Corporate Overheads,Cleaning of Office,10/09/2018,Cashbook September,816.55,Revenue,Sivertone Cleaning Company Ltd,Cleaning Company
B015 - Corporate Overheads,Office Furniture,10/09/2018,Cashbook September,"2,392.00",Revenue,Silvermans Office Furniture,Office Furniture Supplier
B015 - Corporate Overheads,Office Furniture,10/09/2018,Cashbook September,867.99,Revenue,Adams Cook & Pearce Ltd,Office Furniture Supplier
B006 - Support Services,Audit Services,10/09/2018,Cashbook September,"1,875.00",Revenue,CG LEE Ltd,Auditors
B015 - Corporate Overheads,Office Rent,10/09/2018,Cashbook September,"21,961.85",Revenue,Savills,Accomodation Landlord
B020 - Business,Agri-tech consultancy support,10/09/2018,Cashbook September,562.5,Revenue,Hewdon Consulting Ltd,Consultancy
B015 - Corporate Overheads,Office Rent,10/09/2018,Cashbook September,"7,303.50",Revenue,Savills,Accomodation Landlord
B015 - Corporate Overheads,Office Rent,10/09/2018,Cashbook September,"2,434.50",Revenue,Savills,Accomodation Landlord
B010 - Skills,Secondee Costs,10/09/2018,Cashbook September,"2,500.00",Revenue,Regeneris Consulting Ltd,Consultancy
B010 - Skills,Secondee Costs,10/09/2018,Cashbook September,"8,998.80",Revenue,Regeneris Consulting Ltd,Consultancy
B017 - Strategic Planning,Health & Social Care Project,10/09/2018,Cashbook September,949.1,Revenue,Paraclete Partnership Ltd,Consultancy
B006 - Support Services,Employee Costs,10/09/2018,Cashbook September,"1,792.00",Revenue,Sellick Partnership,Employment Agency
B009 - New Homes & Communities,Recharge costs for Housing Programme ,10/09/2018,Cashbook September,"33,872.31",Revenue,South Cambridgeshire District Council,Local Authority
B015 - Corporate Overheads,Barclaycard charge for August,17/09/2018,Cashbook September,"4,216.62",Revenue,Barclaycard,Bank
B020 - Business,Agri-tech Claim,17/09/2018,Cashbook September,"6,637.82",Revenue,Agri-Tech Claim Recipient,Grant Recipient 
B007 - Economic Strategy ,Consultancy Support for infrastructure workshops,17/09/2018,Cashbook September,"21,432.95",Revenue,Metro Dynamcis,Consultancy
B001 - Mayor,Office Furniture,17/09/2018,Cashbook September,685,Revenue,Silvermans Office Furniture,Office Furniture Supplier
B006 - Support Services,Agency Costs,17/09/2018,Cashbook September,"2,278.00",Revenue,Sellick Partnership,Employment Agency
B006 - Support Services,IT Support ,17/09/2018,Cashbook September,"3,134.60",Revenue,Green Duck,IT
B006 - Support Services,IT Support ,17/09/2018,Cashbook September,"2,958.25",Revenue,Green Duck,IT
B015 - Corporate Overheads,Office Telephone Costs,17/09/2018,Cashbook September,511.46,Revenue,Bridge Fibre,Overheads
B006 - Support Services,Agency Costs,24/09/2018,Cashbook September,"2,480.00",Revenue,Sellick Partnership,Employment Agency
B006 - Support Services,Agency Costs,24/09/2018,Cashbook September,"1,984.00",Revenue,Sellick Partnership,Employment Agency
B006 - Support Services,Agency Costs,24/09/2018,Cashbook September,"2,232.00",Revenue,Sellick Partnership,Employment Agency
B006 - Support Services,Agency Costs,24/09/2018,Cashbook September,"2,232.00",Revenue,Sellick Partnership,Employment Agency
B006 - Support Services,Agency Costs,24/09/2018,Cashbook September,"2,240.00",Revenue,Sellick Partnership,Employment Agency
B006 - Support Services,Annual Insurance Content Costs,24/09/2018,Cashbook September,"17,000.00",Revenue,Zurich Municipal,Insurance Providers
B006 - Support Services,HR Consultancy,24/09/2018,Cashbook September,750,Revenue,Rawlinsons,Consultancy
B015 - Corporate Overheads,Office Rent,24/09/2018,Cashbook September,"43,565.63",Revenue,Savills,Accomodation Landlord
B006 - Support Services,Agency Costs,24/09/2018,Cashbook September,"7,865.00",Revenue,Solace In Business,Employment Agency
B017 - Strategic Planning,Consultancy & PM services for Health & Social Care Proposal,24/09/2018,Cashbook September,"2,812.50",Revenue,JH Consultancy,Consultancy
B019 - Energy,Employee Training Costs,24/09/2018,Cashbook September,500,Revenue,The Knowledge Academy ,Training Provider
